business_id,city,latitude,longitude,neighborhood,review_count,stars,city-state,is_restaurant,is_bar
6OuOZAok8ikONMS_T3EzXg,Mississauga,43.7129464,-79.6327631,Ridgewood,7,2.0,Mississauga-ON,True,False
5J3b7j3Fzo9ISjChmoUoUA,Toronto,43.6813277,-79.4278838,Wychwood,23,4.0,Toronto-ON,True,False
Be7Mwq06nf1eNLblo1ekow,North York,43.731316,-79.4651329,Downsview,5,2.5,North York-ON,True,False
RJEtBRLJmmji_QoqS6ysjg,Toronto,43.6677486,-79.3961666,University of Toronto,3,4.5,Toronto-ON,False,True
YIez_A3WOt9J2SXN7OMa2Q,Toronto,43.7459284,-79.3246225,Unknown,105,4.0,Toronto-ON,True,False
j7yI3qYRsbGBUv9rShLCaQ,Woodbridge,43.7767190083,-79.6036142656,Unknown,28,3.0,Woodbridge-ON,True,False
DqZzBPoiGt_FCTfNwPYwzw,Thornhill,43.8099393086,-79.4112146813,Langstaff,23,4.5,Thornhill-ON,True,False
Q_cfbLdAxkLiEZW5TO5T6A,Toronto,43.5951494,-79.5299771,Etobicoke,9,4.0,Toronto-ON,True,False
cuXCQM-9VwpZlSneEY1b3w,Toronto,43.708002,-79.375814,Mount Pleasant and Davisville,51,3.5,Toronto-ON,True,True
hsWx7ya8jLMhi8ZWX23Thg,Toronto,43.7069830501,-79.3964988202,Yonge and Eglinton,5,2.0,Toronto-ON,True,False
_T8qy9XAKAFLJdmoLg1Q-g,Toronto,43.7729924508,-79.4140518612,Willowdale,121,4.0,Toronto-ON,True,False
FI6XxleZ6Z1xJ9BS4zLKgQ,Toronto,43.7743736325,-79.4140428131,Willowdale,3,3.5,Toronto-ON,True,False
Bw_rDtU2REt7ZlkPWT21kg,Toronto,43.7420185,-79.5910764,Etobicoke,4,4.0,Toronto-ON,True,False
2tg7rpwAbrex81bMKOnOtQ,Toronto,43.6990972,-79.3597232,Unknown,10,2.0,Toronto-ON,True,False
vwVoksbTKehDP8ZGUQaVfQ,Toronto,43.7210775,-79.6137669,Etobicoke,25,3.5,Toronto-ON,True,False
JQOg5iKV-c8e3b6ty8Jjbg,Ajax,43.8540375,-79.0602093,Unknown,13,3.0,Ajax-ON,True,False
3YKV1eralyrKQqoWOTJMDA,Toronto,43.6535007,-79.427609,Dufferin Grove,12,4.5,Toronto-ON,True,False
ZP_1K8uC-YGbdPQ0KfNJog,Toronto,43.6537193,-79.4258332,Dufferin Grove,24,4.0,Toronto-ON,True,True
p7vvL9T6iXiL7c9I2gPGEA,Toronto,43.64842,-79.3819,Financial District,7,4.0,Toronto-ON,True,False
xS5Tg_H9GBEyOTWl9JwhvA,Toronto,43.6586437,-79.4408403,Bloordale Village,25,4.0,Toronto-ON,True,False
YSBOJuLA70d6s1fAWBjbAA,Toronto,43.6586622,-79.4407564,Bloordale Village,5,5.0,Toronto-ON,True,True
4qSb9hR5F4D_dq31FJVj8w,North York,43.7353871,-79.4202155,Unknown,21,3.0,North York-ON,True,False
A6VyAvF5jNYTK3WivFsJSg,Mississauga,43.5803645,-79.6146305,Cooksville,13,4.5,Mississauga-ON,True,False
s8-aBYSaPLR8wbfmnkqGWw,Mississauga,43.610812,-79.7489863,Unknown,11,3.5,Mississauga-ON,True,True
FGQZSl-P-SjMRmDyNNQUvw,Oakville,43.482566,-79.6953266,Unknown,3,4.0,Oakville-ON,True,False
Ejl2X5njahhqUutgfGFwOg,Brampton,43.6972659,-79.7487531,Unknown,60,3.0,Brampton-ON,True,True
YA7kPicnPFqd_gydw0SOjw,Toronto,43.662622,-79.3863994,Discovery District,10,3.5,Toronto-ON,True,False
YkAIlxYZ1guSqbbowU9X4g,Toronto,43.6446974,-79.3923951,Entertainment District,171,3.5,Toronto-ON,True,False
DM6SwVs5ksGe9mWKO94Q0A,Toronto,43.6491122,-79.4209542,Ossington Strip,51,3.5,Toronto-ON,False,True
D_VpAGPNEde64N0CwXMkiw,Toronto,43.6772213,-79.3529116,Riverdale,10,3.5,Toronto-ON,True,False
ii_zDR8crbQVJehMMWoCkQ,Toronto,43.8067504,-79.2888581,Milliken,76,4.0,Toronto-ON,True,False
4SQvBWjDh_eUx_10M-eigA,Toronto,43.6591967,-79.3479061,Riverdale,34,3.5,Toronto-ON,True,False
ADmJgVJ82zdLzffdaH1gVw,East Mississauga,43.557103,-79.580702,Port Credit,14,3.5,East Mississauga-ON,True,False
QoXT0qI6_3WeHImUuLAyjg,Toronto,43.6530078233,-79.3714184956,Corktown,110,3.5,Toronto-ON,True,False
CQqi9pqZwsslXF1aOVg8fQ,Ajax,43.843049,-79.0279763,Unknown,7,4.5,Ajax-ON,True,False
webM3oChwDCkzZEmjrSeHQ,Toronto,43.6695736876,-79.3823492115,Church-Wellesley Village,52,3.5,Toronto-ON,True,False
mhcaplFScvQBEk50cmd3jg,North York,43.7465461,-79.4072608,Unknown,4,4.0,North York-ON,True,False
uO0isEg1fCvL0BqfDRbVjA,Toronto,43.7247752,-79.4553801,Unknown,4,3.5,Toronto-ON,True,False
cA5DOLBmD_XoNmgj7e3caA,Toronto,43.7547555,-79.3499924,Unknown,47,3.0,Toronto-ON,False,True
_fe36eepp9tsP5vzvKbdQA,Toronto,43.6486362,-79.3817439,Financial District,17,3.5,Toronto-ON,True,False
a9sK9Ma4kIkN0Zpu0SSAtA,Mississauga,43.5968995769,-79.7858462217,Lisgar,17,1.5,Mississauga-ON,True,False
8zJAGhUZEh836P-E-mGiMw,Toronto,43.6647275,-79.3741718,Unknown,60,3.0,Toronto-ON,False,True
3fTI3ZQkzAugLS12_NFRag,Thornhill,43.8126877,-79.3583158,Unknown,10,3.0,Thornhill-ON,True,False
JRDDRyu0g5FajmZmg4VZew,Scarborough,43.7934578,-79.2393032,Scarborough,26,2.5,Scarborough-ON,True,False
42-UJ-c_97IeqUc6BWjmnA,Toronto,43.7268982,-79.3420715,Unknown,66,2.5,Toronto-ON,True,False
Jy96qxfFFH4Wa-KhkmwSMw,Toronto,43.6759283,-79.4508751,Unknown,68,4.0,Toronto-ON,True,False
5DnIECDn54PCOCLksrsD3w,Toronto,43.6577564,-79.4013373,Unknown,3,2.5,Toronto-ON,False,True
iQ6ydwCOKHlz8BPpJpj2Zg,Toronto,43.6796762,-79.4361019,Unknown,4,3.0,Toronto-ON,True,False
qWWVizgVxBaXXbE8Y-7-qA,Toronto,43.7076725,-79.3981607,Yonge and Eglinton,14,2.5,Toronto-ON,True,False
